iter	Passed	Remaining
160	86496	343300
161	87036	342771
162	87550	342146
163	88058	341495
164	88566	340846
165	89100	340299
166	89646	339798
167	90183	339259
168	90697	338640
169	91209	338010
170	91727	337406
171	92286	336953
172	92807	336361
173	93325	335758
174	93845	335161
175	94368	334579
176	94919	334096
177	95439	333502
178	95953	332890
179	96470	332287
180	96992	331703
181	97530	331176
182	98056	330606
183	98583	330040
184	99116	329494
185	99639	328916
186	100184	328411
187	100697	327803
188	101232	327263
189	101740	326640
190	102276	326106
191	102836	325647
192	103352	325052
193	103870	324462
194	104408	323933
195	104964	323461
196	105517	322979
197	106025	322359
198	106530	321732
199	107055	321166
200	107615	320703
201	108184	320270
202	108704	319686
203	109223	319104
204	109734	318496
205	110265	317951
206	110778	317351
207	111310	316805
208	111821	316203
209	112345	315637
210	112913	315195
211	113434	314619
212	113955	314045
213	114564	313713
214	115155	313329
215	115786	313052
216	116350	312592
217	116950	312224
218	117499	311722
219	118032	311175
220	118574	310655
221	119100	310090
222	119633	309543
223	120142	308937
224	120678	308400
225	121240	307930
226	121757	307342
227	122259	306722
228	122771	306124
229	123298	305567
230	123851	305070
231	124371	304494
232	124891	303920
233	125403	303326
234	125935	302779
235	126489	302289
236	127010	301717
237	127512	301100
238	128039	300544
239	128556	299966
240	129095	299438
241	129599	298828
242	130108	298232
243	130619	297641
244	131136	297065
245	131682	296553
246	132202	295983
247	132722	295414
248	133255	294875
249	133782	294321
250	134353	293863
251	134882	293316
252	135384	292709
253	135895	292121
254	136472	291676
255	137093	291324
256	137707	290954
257	138266	290467
258	138838	290005
259	139403	289531
260	139978	289074
261	140543	288596
262	141103	288108
263	141640	287573
264	142191	287065
265	142822	286718
266	143419	286302
267	144016	285883
268	144607	285452
269	145181	284986
270	145757	284522
271	146338	284068
272	146908	283593
273	147474	283108
274	147987	282521
275	148490	281916
276	149018	281359
277	149561	280830
278	150078	280254
279	150584	279657
280	151099	279077
281	151602	278476
282	152130	277920
283	152645	277341
284	153151	276748
285	153658	276155
286	154176	275584
287	154737	275088
288	155259	274524
289	155781	273961
290	156318	273422
291	156845	272868
292	157402	272366
293	157954	271854
294	158484	271304
295	159013	270753
296	159524	270171
297	160074	269655
298	160595	269090
299	161131	268552
300	161637	267964
301	162155	267395
302	162723	266909
303	163252	266359
304	163778	265804
305	164339	265306
306	164900	264806
307	165432	264261
308	165944	263685
309	166465	263122
310	166975	262543
311	167538	262047
312	168116	261574
313	168640	261017
314	169157	260448
315	169663	259864
316	170178	259294
317	170725	258772
318	171271	258249
319	171796	257694
320	172320	257138
321	172828	256558
322	173363	256019
323	173885	255461
324	174396	254886
325	174941	254362
326	175471	253816
327	176030	253311
328	176564	252771
329	177072	252193
330	177606	251654
331	178150	251127
332	178746	250675
333	179249	250089
334	179755	249511
335	180281	248959
336	180824	248432
337	181460	248032
338	181991	247486
339	182519	246938
340	183044	246385
341	183553	245811
342	184102	245291
343	184636	244750
344	185165	244203
345	185673	243629
346	186185	243060
347	186711	242509
348	187246	241971
349	187787	241441
350	188293	240865
351	188799	240289
352	189326	239742
353	189865	239209
354	190374	238638
355	190902	238091
356	191408	237517
357	191939	236975
358	192464	236425
359	192995	235883
360	193508	235318
361	194038	234776
362	194568	234232
363	195106	233699
364	195644	233165
365	196170	232617
366	196693	232066
367	197255	231560
368	197770	231000
369	198295	230451
370	198821	229903
371	199342	229350
372	199902	228843
373	200420	228286
374	200936	227727
375	201441	227157
376	201950	226591
377	202541	226117
378	203137	225649
379	203735	225181
380	204286	224660
381	204838	224142
382	205409	223644
383	205977	223142
384	206549	222643
385	207076	222097
386	207623	221571
387	208137	221011
388	208724	220529
389	209287	220020
390	209870	219532
391	210466	219057
392	211062	218581
393	211637	218083
394	212172	217544
395	212729	217026
396	213329	216554
397	213842	215992
